begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2023/01/17 18:37

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 4.322784328099949e-09
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    4.32278433e-09   0.100    40.00000 2020/06/24 19:45 2020/06/24 19:55
FAP2  1 V         0.000 799 Input units: m/s         
   11.34000  1.30880707e+08  177
   11.36000  1.30946299e+08  177
   11.38000  1.30997411e+08  176
   11.40000  1.30881961e+08  176
   11.42000  1.30813734e+08  176
   11.44000  1.30823487e+08  176
   11.46000  1.30801020e+08  176
   11.48000  1.30464834e+08  176
   11.50000  1.30762168e+08  176
   11.52000  1.30685861e+08  176
   11.54000  1.30758845e+08  176
   11.56000  1.31020918e+08  176
   11.58000  1.30880709e+08  176
   11.60000  1.30710896e+08  176
   11.62000  1.30682012e+08  176
   11.64000  1.30708068e+08  176
   11.66000  1.30646791e+08  176
   11.68000  1.30680686e+08  176
   11.70000  1.30601007e+08  176
   11.72000  1.30631147e+08  176
   11.74000  1.30639952e+08  176
   11.76000  1.30552972e+08  176
   11.78000  1.30535236e+08  176
   11.80000  1.30503752e+08  176
   11.82000  1.30479867e+08  176
   11.84000  1.30510177e+08  176
   11.86000  1.30421618e+08  176
   11.88000  1.30329049e+08  176
   11.90000  1.30346320e+08  176
   11.92000  1.30337832e+08  175
   11.94000  1.30311096e+08  175
   11.96000  1.30458607e+08  175
   11.98000  1.30563968e+08  175
   12.00000  1.30561589e+08  175
   12.02000  1.30129422e+08  175
   12.04000  1.29909489e+08  175
   12.06000  1.30081401e+08  175
   12.08000  1.30280792e+08  175
   12.10000  1.30280612e+08  175
   12.12000  1.30326412e+08  175
   12.14000  1.30398767e+08  175
   12.16000  1.30292024e+08  175
   12.18000  1.30402488e+08  175
   12.20000  1.30315930e+08  175
   12.22000  1.30331981e+08  175
   12.24000  1.30058349e+08  175
   12.26000  1.30068619e+08  175
   12.28000  1.30010722e+08  175
   12.30000  1.30107899e+08  175
   12.32000  1.30267383e+08  175
