begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2023/01/21 00:56

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 0.008881
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    8.88100085e-03   0.100    40.00000 2020/01/10 15:29 2020/01/10 15:39
FAP2  1 V         0.000 799 Input units: m/s         
   14.30000  6.14316652e+01   -6
   14.32000  6.12981278e+01   -6
   14.34000  6.14174598e+01   -7
   14.36000  6.12154306e+01   -6
   14.38000  6.13079134e+01   -6
   14.40000  6.13407224e+01   -6
   14.42000  6.11964998e+01   -7
   14.44000  6.12112746e+01   -7
   14.46000  6.13101011e+01   -7
   14.48000  6.12843124e+01   -7
   14.50000  6.12486524e+01   -7
   14.52000  6.11949721e+01   -7
   14.54000  6.11999891e+01   -7
   14.56000  6.11634395e+01   -7
   14.58000  6.12170920e+01   -7
   14.60000  6.11708186e+01   -7
   14.62000  6.12407429e+01   -7
   14.64000  6.12800852e+01   -7
   14.66000  6.11863876e+01   -7
   14.68000  6.10574157e+01   -7
   14.70000  6.10521798e+01   -7
   14.72000  6.09920629e+01   -7
   14.74000  6.09016134e+01   -7
   14.76000  6.10032244e+01   -7
