begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2022/11/30 19:09

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 4.1927020719191555e-09
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    4.19270207e-09   0.100    40.00000 2020/05/27 20:00 2020/05/27 20:10
FAP2  1 V         0.000 799 Input units: m/s         
    9.28000  1.36238427e+08 -180
    9.30000  1.36168719e+08 -180
    9.32000  1.36179373e+08 -180
    9.34000  1.36388907e+08 -180
    9.36000  1.36263852e+08 -180
    9.38000  1.36193508e+08 -180
    9.40000  1.36197629e+08 -180
    9.42000  1.36233568e+08 -180
    9.44000  1.36122251e+08 -180
    9.46000  1.35990003e+08 -180
    9.48000  1.35957348e+08  180
    9.50000  1.35937753e+08  180
    9.52000  1.35955903e+08  180
    9.54000  1.36184580e+08  180
    9.56000  1.36254504e+08  180
    9.58000  1.36093566e+08  180
    9.60000  1.36087135e+08  180
    9.62000  1.36188037e+08  180
    9.64000  1.36080684e+08  180
    9.66000  1.36007265e+08  180
    9.68000  1.36088713e+08  180
    9.70000  1.36077420e+08  180
    9.72000  1.35985522e+08  180
    9.74000  1.35970882e+08  180
    9.76000  1.36124336e+08  180
    9.78000  1.36110488e+08  179
    9.80000  1.35993557e+08  179
    9.82000  1.36054743e+08  179
    9.84000  1.36034890e+08  179
    9.86000  1.35912049e+08  179
    9.88000  1.35923314e+08  179
    9.90000  1.35740626e+08  179
    9.92000  1.35712115e+08  179
    9.94000  1.35873594e+08  179
    9.96000  1.36040013e+08  179
    9.98000  1.35976208e+08  179
   10.00000  1.35897559e+08  179
   10.02000  1.35972094e+08  179
   10.04000  1.35804683e+08  179
   10.06000  1.35709639e+08  179
   10.08000  1.35785067e+08  179
   10.10000  1.35724361e+08  179
   10.12000  1.35698073e+08  179
   10.14000  1.35687060e+08  179
   10.16000  1.35781831e+08  179
   10.18000  1.35752425e+08  179
   10.20000  1.35820265e+08  179
   10.22000  1.35869312e+08  179
   10.24000  1.35744211e+08  179
   10.26000  1.35717117e+08  179
   10.28000  1.35731261e+08  179
   10.30000  1.35624888e+08  179
   10.32000  1.35659057e+08  178
   10.34000  1.35535347e+08  179
   10.36000  1.35592437e+08  178
   10.38000  1.35678204e+08  178
   10.40000  1.35747700e+08  178
   10.42000  1.35781207e+08  178
   10.44000  1.35675731e+08  178
   10.46000  1.35460240e+08  178
   10.48000  1.35485274e+08  178
   10.50000  1.35504267e+08  178
   10.52000  1.35412309e+08  178
   10.54000  1.35424470e+08  178
   10.56000  1.35533366e+08  178
   10.58000  1.35540006e+08  178
   10.60000  1.35508339e+08  178
